▶ running per-file parallel test suite via run_tests_parallel.py
  (TZ=UTC LANG=C.UTF-8 PYTHONHASHSEED=0; clean env)
Discovered 1976 test files (~37961 tests) under ['tests']; running with -j 28
[  0.0% |     5/~37961 | ✓5 | ✗0] ✓ tests/acp_adapter/test_detect_provider_entra.py (5✓, 7.9s)
[  0.5% |   184/~37961 | ✓186 | ✗  0] ✓ tests/agent/test_anthropic_oauth_ua_prefix.py (4✓, 6.0s)
[  0.5% |   200/~37961 | ✓202 | ✗  0] ✓ tests/agent/lsp/test_reporter.py (16✓, 17.1s)
[  0.6% |   218/~37961 | ✓220 | ✗  0] ✓ tests/agent/lsp/test_protocol.py (18✓, 17.1s)
[  0.6% |   222/~37961 | ✓224 | ✗  0] ✓ tests/agent/test_anthropic_thinking_block_order.py (4✓, 6.1s)
[  0.6% |   229/~37961 | ✓231 | ✗  0] ✓ tests/agent/test_anthropic_kwargs_sanitize.py (7✓, 8.2s)
[  0.7% |   247/~37961 | ✓249 | ✗  0] ✓ tests/agent/lsp/test_delta_key.py (18✓, 18.0s)
[  0.7% |   250/~37961 | ✓252 | ✗  0] ✓ tests/agent/test_auxiliary_anthropic_pool_fallback_regression.py (3✓, 5.9s)
[  0.7% |   268/~37961 | ✓270 | ✗  0] ✓ tests/agent/lsp/test_eventlog.py (18✓, 18.1s)
[  0.8% |   287/~37961 | ✓289 | ✗  0] ✓ tests/acp/test_events.py (19✓, 19.0s)
[  0.8% |   293/~37961 | ✓295 | ✗  0] ✓ tests/agent/test_async_utils.py (6✓, 7.5s)
[  0.8% |   300/~37961 | ✓302 | ✗  0] ✓ tests/agent/test_anthropic_output_field_leak.py (7✓, 8.3s)
[  0.8% |   303/~37961 | ✓305 | ✗  0] ✓ tests/agent/test_auxiliary_client_anthropic_custom.py (3✓, 5.6s)
[  0.8% |   315/~37961 | ✓317 | ✗  0] ✓ tests/agent/lsp/test_workspace.py (12✓, 12.4s)
[  0.9% |   327/~37961 | ✓329 | ✗  0] ✓ tests/agent/test_anthropic_mcp_prefix_strip.py (12✓, 12.1s)
[  0.9% |   332/~37961 | ✓334 | ✗  0] ✓ tests/agent/test_auxiliary_client_proxy_env.py (5✓, 7.0s)
[  0.9% |   337/~37961 | ✓339 | ✗  0] ✓ tests/agent/test_auxiliary_client_base_url_host_validation_52608.py (5✓, 7.2s)
[  0.9% |   345/~37961 | ✓352 | ✗  0] ✓ tests/agent/lsp/test_shell_linter_lsp_skip.py (13✓, 15.0s)
[  0.9% |   350/~37961 | ✓357 | ✗  0] ✓ tests/agent/test_auxiliary_client_resolve_dedup.py (5✓, 7.3s)
[  0.9% |   356/~37961 | ✓363 | ✗  0] ✓ tests/agent/test_auxiliary_client_ssl_verify.py (6✓, 7.9s)
[  0.9% |   358/~37961 | ✓365 | ✗  0] ✓ tests/agent/test_bedrock_1m_context.py (2✓, 5.2s)
[  0.9% |   360/~37961 | ✓367 | ✗  0] ✓ tests/agent/test_bedrock_interrupt_post_worker.py (2✓, 5.1s)
[  1.0% |   364/~37961 | ✓371 | ✗  0] ✓ tests/agent/test_auxiliary_transient_retry.py (4✓, 7.0s)
[  1.0% |   373/~37961 | ✓380 | ✗  0] ✓ tests/agent/test_auxiliary_client_azure_foundry.py (9✓, 10.7s)
[  1.0% |   380/~37961 | ✓387 | ✗  0] ✓ tests/agent/test_auxiliary_compression_timeout_floor.py (7✓, 9.6s)
[  1.0% |   398/~37961 | ✓405 | ✗  0] ✓ tests/agent/test_anthropic_keychain.py (18✓, 17.2s)
[  1.1% |   400/~37961 | ✓407 | ✗  0] ✓ tests/agent/test_chat_completion_helpers_provider_sort.py (2✓, 5.3s)
[  1.1% |   408/~37961 | ✓415 | ✗  0] ✓ tests/agent/test_auxiliary_user_default_headers.py (8✓, 10.5s)
[  1.1% |   411/~37961 | ✓418 | ✗  0] ✓ tests/agent/test_cascading_interrupt_6600.py (3✓, 6.4s)
[  1.1% |   425/~37961 | ✓432 | ✗  0] ✓ tests/agent/test_auxiliary_client_xai_oauth_recovery.py (14✓, 14.9s)
[  1.1% |   430/~37961 | ✓437 | ✗  0] ✓ tests/agent/test_codex_app_server_persist.py (5✓, 9.0s)
[  1.2% |   437/~37961 | ✓444 | ✗  0] ✓ tests/agent/test_close_interrupted_tool_sequence.py (7✓, 9.6s)
[  1.2% |   441/~37961 | ✓448 | ✗  0] ✓ tests/agent/test_compressed_summary_metadata.py (4✓, 6.7s)
[  1.2% |   446/~37961 | ✓453 | ✗  0] ✓ tests/agent/test_compress_focus.py (5✓, 7.5s)
[  1.2% |   452/~37961 | ✓459 | ✗  0] ✓ tests/agent/test_bounded_response.py (6✓, 13.3s)
[  1.2% |   471/~37961 | ✓478 | ✗  0] ✓ tests/agent/test_auxiliary_config_bridge.py (19✓, 19.1s)
[  1.2% |   473/~37961 | ✓480 | ✗  0] ✓ tests/agent/test_compression_count_warning_36908.py (2✓, 8.2s)
[  1.3% |   479/~37961 | ✓486 | ✗  0] ✓ tests/agent/test_compression_interrupt_protection.py (6✓, 8.5s)
[  1.3% |   480/~37961 | ✓487 | ✗  0] ✓ tests/agent/test_compression_logging_session_context.py (1✓, 6.5s)
[  1.3% |   493/~37961 | ✓500 | ✗  0] ✓ tests/agent/test_codex_cloudflare_headers.py (13✓, 15.4s)
[  1.4% |   516/~37961 | ✓523 | ✗  0] ✓ tests/agent/test_auxiliary_main_first.py (23✓, 22.9s)
[  1.4% |   526/~37961 | ✓546 | ✗  0] ✓ tests/agent/test_auxiliary_transport_autodetect.py (23✓, 22.6s)
[  1.4% |   539/~37961 | ✓561 | ✗  0] ✓ tests/agent/test_codex_gpt55_autoraise_notice.py (15✓, 16.6s)
[  1.5% |   555/~37961 | ✓577 | ✗  0] ✓ tests/agent/test_codex_responses_adapter.py (16✓, 16.2s)
[  1.5% |   558/~37961 | ✓580 | ✗  0] ✓ tests/agent/test_compression_rotation_state.py (3✓, 8.8s)
[  1.6% |   603/~37961 | ✓625 | ✗  0] ✓ tests/acp/test_session.py (45✓, 42.2s)
[  1.6% |   612/~37961 | ✓634 | ✗  0] ✓ tests/agent/test_compression_progress.py (9✓, 10.5s)
[  1.6% |   616/~37961 | ✓638 | ✗  0] ✓ tests/agent/test_compressor_media_stripping.py (4✓, 6.8s)
[  1.6% |   618/~37961 | ✓640 | ✗  0] ✓ tests/agent/test_context_breakdown.py (2✓, 4.8s)
[  1.6% |   622/~37961 | ✓644 | ✗  0] ✓ tests/agent/test_compressor_zero_user_guard.py (4✓, 6.2s)
[  1.7% |   627/~37961 | ✓649 | ✗  0] ✓ tests/agent/test_compressor_tool_call_budget.py (5✓, 7.3s)
[  1.7% |   630/~37961 | ✓652 | ✗  0] ✓ tests/agent/test_context_compressor_cross_session_guard.py (3✓, 5.4s)
[  1.7% |   633/~37961 | ✓655 | ✗  0] ✓ tests/agent/test_context_compressor_summary_continuity.py (3✓, 5.4s)
[  1.7% |   637/~37961 | ✓659 | ✗  0] ✓ tests/agent/test_context_compressor_temporal_anchoring.py (4✓, 6.2s)
[  1.7% |   651/~37961 | ✓673 | ✗  0] ✓ tests/agent/test_compression_small_ctx_threshold_floor.py (14✓, 14.6s)
[  1.8% |   683/~37961 | ✓705 | ✗  0] ✓ tests/agent/test_auxiliary_named_custom_providers.py (32✓, 30.9s)
[  1.8% |   689/~37961 | ✓711 | ✗  0] ✓ tests/agent/test_context_compressor_session_end_clears_state.py (6✓, 7.8s)
[  1.8% |   701/~37961 | ✓723 | ✗  0] ✓ tests/agent/test_compressor_image_tokens.py (12✓, 12.5s)
[  1.9% |   703/~37961 | ✓725 | ✗  0] ✓ tests/agent/test_context_refs_concurrent.py (2✓, 5.2s)
[  2.0% |   742/~37961 | ✓764 | ✗  0] ✓ tests/agent/test_azure_identity_adapter.py (39✓, 34.3s)
[  2.0% |   746/~37961 | ✓770 | ✗  0] ✓ tests/agent/test_credential_pool_oauth_writethrough.py (6✓, 7.9s)
[  2.0% |   750/~37961 | ✓774 | ✗  0] ✓ tests/agent/test_credits_fixture_snapshot.py (4✓, 6.5s)
[  2.0% |   761/~37961 | ✓785 | ✗  0] ✓ tests/agent/test_context_engine_host_contract.py (11✓, 12.0s)
[  2.0% |   772/~37961 | ✓796 | ✗  0] ✓ tests/agent/test_copilot_acp_client.py (11✓, 11.9s)
[  2.1% |   796/~37961 | ✓820 | ✗  0] ✓ tests/agent/test_compressor_assistant_tail_anchor.py (24✓, 22.4s)
[  2.1% |   797/~37961 | ✓821 | ✗  0] ✓ tests/agent/test_curator_activity.py (1✓, 4.1s)
[  2.1% |   803/~37961 | ✓835 | ✗  0] ✓ tests/agent/test_copilot_acp_deprecation.py (14✓, 14.4s)
[  2.2% |   817/~37961 | ✓849 | ✗  0] ✓ tests/agent/test_compression_concurrent_fork.py (14✓, 31.2s)
[  2.2% |   827/~37961 | ✓859 | ✗  0] ✓ tests/agent/test_credential_pool_routing.py (10✓, 11.9s)
[  2.2% |   832/~37961 | ✓864 | ✗  0] ✓ tests/agent/test_crossloop_client_cache.py (5✓, 7.2s)
[  2.3% |   859/~37961 | ✓891 | ✗  0] ✓ tests/agent/test_compressor_historical_media.py (27✓, 25.0s)
[  2.4% |   929/~37961 | ✓961 | ✗  0] ✓ tests/acp/test_tools.py (70✓, 60.9s)
[  2.5% |   940/~37961 | ✓972 | ✗  0] ✓ tests/agent/test_credits_view.py (11✓, 12.9s)
[  2.5% |   953/~37961 | ✓985 | ✗  0] ✓ tests/agent/test_credits_cold_start.py (13✓, 14.5s)
[  2.5% |   962/~37961 | ✓994 | ✗  0] ✓ tests/agent/test_codex_ttfb_watchdog.py (9✓, 38.5s)
[  2.6% |   979/~37961 | ✓1011 | ✗   0] ✓ tests/agent/test_context_references.py (17✓, 19.7s)
[  2.7% |  1006/~37961 | ✓1062 | ✗   0] ✓ tests/agent/test_billing_view.py (51✓, 43.4s)
[  2.7% |  1010/~37961 | ✓1066 | ✗   0] ✓ tests/agent/test_custom_provider_extra_body.py (4✓, 6.5s)
[  2.7% |  1014/~37961 | ✓1070 | ✗   0] ✓ tests/agent/test_custom_pool_mismatch_guard.py (4✓, 7.3s)
[  2.7% |  1017/~37961 | ✓1073 | ✗   0] ✓ tests/agent/test_direct_provider_url_detection.py (3✓, 6.3s)
[  2.8% |  1044/~37961 | ✓1100 | ✗   0] ✓ tests/agent/test_context_engine.py (27✓, 25.4s)
[  2.8% |  1054/~37961 | ✓1110 | ✗   0] ✓ tests/agent/test_curator_reports.py (10✓, 12.4s)
[  2.8% |  1060/~37961 | ✓1119 | ✗   0] ✓ tests/agent/test_deepseek_anthropic_thinking.py (9✓, 10.8s)
[  2.9% |  1085/~37961 | ✓1189 | ✗   0] ✓ tests/agent/test_arcee_trinity_overrides.py (70✓, 59.0s)
[  2.9% |  1098/~37961 | ✓1202 | ✗   0] ✓ tests/agent/test_custom_providers_vision.py (13✓, 13.5s)
[  2.9% |  1108/~37961 | ✓1212 | ✗   0] ✓ tests/agent/test_display_emoji.py (10✓, 11.8s)
[  3.1% |  1168/~37961 | ✓1272 | ✗   0] ✓ tests/agent/test_bedrock_integration.py (60✓, 53.3s)
[  3.3% |  1248/~37961 | ✓1352 | ✗   0] ✓ tests/acp/test_server.py (80✓, 73.4s)
[  3.3% |  1254/~37961 | ✓1358 | ✗   0] ✓ tests/agent/test_external_skills_dirs_cache.py (6✓, 8.4s)
[  3.3% |  1265/~37961 | ✓1369 | ✗   0] ✓ tests/agent/test_external_skills.py (11✓, 12.3s)
[  3.4% |  1274/~37961 | ✓1378 | ✗   0] ✓ tests/agent/test_failover_identity.py (9✓, 10.6s)
[  3.4% |  1276/~37961 | ✓1383 | ✗   0] ✓ tests/agent/test_empty_tool_name_loop_dampening.py (5✓, 13.3s)
[  3.4% |  1283/~37961 | ✓1391 | ✗   0] ✓ tests/agent/test_file_safety_container_mirror.py (8✓, 9.6s)
[  3.5% |  1310/~37961 | ✓1418 | ✗   0] ✓ tests/agent/test_curator_backup.py (27✓, 24.7s)
[  3.5% |  1315/~37961 | ✓1423 | ✗   0] ✓ tests/agent/test_gemini_fast_fallback.py (5✓, 7.6s)
[  3.6% |  1367/~37961 | ✓1478 | ✗   0] ✓ tests/agent/test_coding_context.py (55✓, 55.3s)
[  3.6% |  1378/~37961 | ✓1491 | ✗   0] ✓ tests/agent/test_file_safety_sandbox_mirror.py (13✓, 13.1s)
[  3.7% |  1402/~37961 | ✓1515 | ✗   0] ✓ tests/agent/test_display_todo_progress.py (24✓, 22.8s)
[  3.7% |  1404/~37961 | ✓1517 | ✗   0] ✓ tests/agent/test_jiter_preload.py (2✓, 5.4s)
[  3.8% |  1428/~37961 | ✓1541 | ✗   0] ✓ tests/agent/test_display_tool_failure.py (24✓, 22.3s)
[  3.8% |  1439/~37961 | ✓1552 | ✗   0] ✓ tests/agent/test_gemini_schema.py (11✓, 11.8s)
[  3.8% |  1441/~37961 | ✓1554 | ✗   0] ✓ tests/agent/test_last_total_tokens.py (2✓, 5.0s)
[  3.8% |  1454/~37961 | ✓1570 | ✗   0] ✓ tests/agent/test_file_safety_cross_profile.py (16✓, 15.6s)
[  3.9% |  1467/~37961 | ✓1592 | ✗   0] ✓ tests/agent/test_file_safety.py (22✓, 20.7s)
[  3.9% |  1477/~37961 | ✓1602 | ✗   0] ✓ tests/agent/test_image_gen_registry.py (10✓, 10.8s)
[  4.0% |  1524/~37961 | ✓1649 | ✗   0] ✓ tests/agent/test_credits_policy.py (47✓, 41.1s)
[  4.1% |  1546/~37961 | ✓1671 | ✗   0] ✓ tests/agent/test_file_safety_credentials.py (22✓, 21.4s)
[  4.1% |  1560/~37961 | ✓1685 | ✗   0] ✓ tests/agent/test_intent_ack_continuation.py (14✓, 14.2s)
[  4.1% |  1564/~37961 | ✓1689 | ✗   0] ✓ tests/agent/test_memory_boundary_commit.py (4✓, 6.6s)
[  4.1% |  1571/~37961 | ✓1696 | ✗   0] ✓ tests/agent/test_learning_graph.py (7✓, 8.7s)
[  4.2% |  1593/~37961 | ✓1718 | ✗   0] ✓ tests/agent/test_gemini_free_tier_gate.py (22✓, 21.1s)
[  4.2% |  1611/~37961 | ✓1740 | ✗   0] ✓ tests/agent/test_gemini_native_adapter.py (22✓, 21.0s)
[  4.4% |  1657/~37961 | ✓1786 | ✗   0] ✓ tests/agent/test_curator_classification.py (46✓, 40.9s)
[  4.4% |  1665/~37961 | ✓1803 | ✗   0] ✓ tests/agent/test_kimi_coding_anthropic_thinking.py (17✓, 16.8s)
[  4.4% |  1678/~37961 | ✓1816 | ✗   0] ✓ tests/agent/test_learn_prompt.py (13✓, 13.6s)
[  4.4% |  1680/~37961 | ✓1818 | ✗   0] ✓ tests/agent/test_message_content.py (2✓, 5.1s)
[  4.5% |  1694/~37961 | ✓1832 | ✗   0] ✓ tests/agent/test_learning_mutations.py (14✓, 14.1s)
[  4.5% |  1700/~37961 | ✓1838 | ✗   0] ✓ tests/agent/test_memory_async_sync.py (6✓, 13.4s)
[  4.5% |  1715/~37961 | ✓1853 | ✗   0] ✓ tests/agent/test_markdown_tables.py (15✓, 14.9s)
[  4.6% |  1731/~37961 | ✓1869 | ✗   0] ✓ tests/agent/test_learning_graph_render.py (16✓, 15.8s)
[  4.6% |  1733/~37961 | ✓1871 | ✗   0] ✓ tests/agent/test_moa_aggregator_cache_control.py (2✓, 4.9s)
[  4.6% |  1735/~37961 | ✓1873 | ✗   0] ✓ tests/agent/test_moa_aggregator_cost_slot.py (2✓, 4.9s)
[  4.6% |  1747/~37961 | ✓1885 | ✗   0] ✓ tests/agent/test_memory_session_switch.py (12✓, 13.1s)
[  4.6% |  1751/~37961 | ✓1889 | ✗   0] ✓ tests/agent/test_moa_slot_api_mode.py (4✓, 6.4s)
[  4.6% |  1764/~37961 | ✓1902 | ✗   0] ✓ tests/agent/test_memory_skill_scaffolding.py (13✓, 13.9s)
[  4.7% |  1773/~37961 | ✓1911 | ✗   0] ✓ tests/agent/test_minimax_auxiliary_url.py (9✓, 10.5s)
[  4.7% |  1780/~37961 | ✓1921 | ✗   0] ✓ tests/agent/test_memory_write_bridge.py (10✓, 11.4s)
[  4.7% |  1781/~37961 | ✓1925 | ✗   0] ✓ tests/agent/test_moa_switch_api_mode.py (4✓, 7.1s)
[  4.7% |  1786/~37961 | ✓1930 | ✗   0] ✓ tests/agent/test_model_extra_type_guard.py (5✓, 7.2s)
[  4.7% |  1791/~37961 | ✓1935 | ✗   0] ✓ tests/agent/test_moa_trace_streamed_capture.py (5✓, 7.5s)
[  4.9% |  1847/~37961 | ✓1991 | ✗   0] ✓ tests/agent/test_display.py (56✓, 49.0s)
[  4.9% |  1850/~37961 | ✓1994 | ✗   0] ✓ tests/agent/test_nous_oauth_401_guidance.py (3✓, 6.0s)
[  4.9% |  1859/~37961 | ✓2003 | ✗   0] ✓ tests/agent/test_model_metadata_ssl.py (9✓, 10.2s)
[  5.1% |  1925/~37961 | ✓2069 | ✗   0] ✓ tests/agent/test_curator.py (66✓, 58.0s)
[  5.1% |  1939/~37961 | ✓2083 | ✗   0] ✓ tests/agent/test_memory_user_id.py (14✓, 21.6s)
[  5.2% |  1975/~37961 | ✓2083 | ✗   0] ✓ tests/agent/test_pet_generate.py (36s, 2.1s)
[  5.2% |  1984/~37961 | ✓2092 | ✗   0] ✓ tests/agent/test_nous_credits_snapshot.py (9✓, 10.6s)
[  5.3% |  2002/~37961 | ✓2139 | ✗   0] ✓ tests/agent/test_i18n.py (47✓, 41.7s)
[  5.3% |  2015/~37961 | ✓2152 | ✗   0] ✓ tests/agent/test_nous_credits_gauge.py (13✓, 12.9s)
[  5.5% |  2094/~37961 | ✓2237 | ✗   0] ✓ tests/agent/test_credential_pool.py (85✓, 73.1s)
[  5.6% |  2108/~37961 | ✓2251 | ✗   0] ✓ tests/agent/test_non_stream_stale_timeout.py (14✓, 16.3s)
[  5.6% |  2121/~37961 | ✓2264 | ✗   0] ✓ tests/agent/test_oneshot.py (13✓, 14.1s)
[  5.6% |  2131/~37961 | ✓2307 | ✗   0] ✓ tests/agent/test_local_stream_timeout.py (43✓, 38.0s)
[  5.6% |  2137/~37961 | ✓2313 | ✗   0] ✓ tests/agent/test_portal_tags.py (6✓, 8.2s)
[  5.8% |  2193/~37961 | ✓2369 | ✗   0] ✓ tests/agent/test_insights.py (56✓, 48.8s)
[  5.8% |  2201/~37961 | ✓2377 | ✗   0] ✓ tests/agent/test_preflight_compression_gate.py (8✓, 10.0s)
[  5.9% |  2232/~37961 | ✓2408 | ✗   0] ✓ tests/agent/test_model_metadata_local_ctx.py (31✓, 28.4s)
[  6.0% |  2262/~37961 | ✓2438 | ✗   0] ✓ tests/agent/test_models_dev.py (30✓, 27.6s)
[  6.0% |  2278/~37961 | ✓2454 | ✗   0] ✓ tests/agent/test_platform_hint_overrides.py (16✓, 16.4s)
[  6.3% |  2376/~37961 | ✓2552 | ✗   0] ✓ tests/agent/test_credits_tracker.py (98✓, 81.3s)
[  6.6% |  2508/~37961 | ✓2684 | ✗   0] ✓ tests/agent/test_bedrock_adapter.py (132✓, 111.2s)
[  6.6% |  2515/~37961 | ✓2691 | ✗   0] ✓ tests/agent/test_restore_primary_pool_reselect.py (7✓, 9.1s)
[  6.7% |  2547/~37961 | ✓2723 | ✗   0] ✓ tests/agent/test_nous_rate_guard.py (32✓, 29.2s)
[  6.8% |  2573/~37961 | ✓2760 | ✗   0] ✓ tests/agent/test_moonshot_schema.py (37✓, 32.6s)
[  6.8% |  2592/~37961 | ✓2784 | ✗   0] ✓ tests/agent/test_platform_hint_desktop.py (24✓, 23.2s)
[  7.0% |  2639/~37961 | ✓2831 | ✗   0] ✓ tests/agent/test_minimax_provider.py (47✓, 41.9s)
[  7.0% |  2645/~37961 | ✓2846 | ✗   0] ✓ tests/agent/test_proxy_and_url_validation.py (15✓, 15.9s)
[  7.0% |  2668/~37961 | ✓2872 | ✗   0] ✓ tests/agent/test_pet_engine.py (26✓, 25.6s)
[  7.1% |  2677/~37961 | ✓2881 | ✗   0] ✓ tests/agent/test_replay_cleanup.py (9✓, 10.9s)
[  7.1% |  2683/~37961 | ✓2887 | ✗   0] ✓ tests/agent/test_resume_stale_active_task.py (6✓, 8.4s)
[  7.1% |  2690/~37961 | ✓2894 | ✗   0] ✓ tests/agent/test_set_runtime_main_custom_provider.py (7✓, 9.0s)
[  7.1% |  2713/~37961 | ✓2917 | ✗   0] ✓ tests/agent/test_prompt_caching.py (23✓, 22.3s)
[  7.2% |  2721/~37961 | ✓2925 | ✗   0] ✓ tests/agent/test_save_url_image.py (8✓, 13.7s)
[  7.2% |  2727/~37961 | ✓2931 | ✗   0] ✓ tests/agent/test_skill_commands_reload.py (6✓, 8.1s)
[  7.3% |  2769/~37961 | ✓2973 | ✗   0] ✓ tests/agent/test_onboarding.py (42✓, 37.5s)
[  7.3% |  2782/~37961 | ✓2986 | ✗   0] ✓ tests/agent/test_secret_scope.py (13✓, 13.9s)
[  7.4% |  2806/~37961 | ✓3010 | ✗   0] ✓ tests/agent/test_rate_limit_tracker.py (24✓, 23.4s)
[  7.4% |  2811/~37961 | ✓3015 | ✗   0] ✓ tests/agent/test_ssl_verify.py (5✓, 7.7s)
[  7.4% |  2826/~37961 | ✓3030 | ✗   0] ✓ tests/agent/test_runtime_cwd.py (15✓, 15.8s)
[  7.5% |  2829/~37961 | ✓3033 | ✗   0] ✓ tests/agent/test_subdirectory_hints_tilde.py (3✓, 5.8s)
[  7.5% |  2859/~37961 | ✓3079 | ✗   0] ✓ tests/agent/test_openrouter_response_cache.py (46✓, 41.3s)
[  7.5% |  2866/~37961 | ✓3093 | ✗   0] ✓ tests/agent/test_ssl_ca_guard.py (14✓, 14.7s)
[  7.6% |  2871/~37961 | ✓3098 | ✗   0] ✓ tests/agent/test_system_prompt.py (5✓, 8.4s)
[  7.6% |  2878/~37961 | ✓3105 | ✗   0] ✓ tests/agent/test_subagent_stop_hook.py (7✓, 9.8s)
[  7.6% |  2886/~37961 | ✓3113 | ✗   0] ✓ tests/agent/test_summary_prefix_semantics.py (8✓, 10.3s)
[  8.1% |  3059/~37961 | ✓3283 | ✗   3] ✗ tests/agent/test_anthropic_adapter.py (170✓ 3✗, 145.5s)

  ╔╍ Failed: tests/agent/test_anthropic_adapter.py ╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍
  ║     
  ║         ``parse_int``, if specified, will be called with the string
  ║         of every JSON int to be decoded. By default this is equivalent to
  ║         int(num_str). This can be used to use another datatype or parser
  ║         for JSON integers (e.g. float).
  ║     
  ║         ``parse_constant``, if specified, will be called with one of the
  ║         following strings: -Infinity, Infinity, NaN.
  ║         This can be used to raise an exception if invalid JSON numbers
  ║         are encountered.
  ║     
  ║         To use a custom ``JSONDecoder`` subclass, specify it with the ``cls``
  ║         kwarg; otherwise ``JSONDecoder`` is used.
  ║         """
  ║         if isinstance(s, str):
  ║             if s.startswith('\ufeff'):
  ║                 raise JSONDecodeError("Unexpected UTF-8 BOM (decode using utf-8-sig)",
  ║                                       s, 0)
  ║         else:
  ║             if not isinstance(s, (bytes, bytearray)):
  ║ >               raise TypeError(f'the JSON object must be str, bytes or bytearray, '
  ║                                 f'not {s.__class__.__name__}')
  ║ E               TypeError: the JSON object must be str, bytes or bytearray, not MagicMock
  ║ 
  ║ ../../../.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/json/__init__.py:339: TypeError
  ║ =========================== short test summary info ============================
  ║ FAILED tests/agent/test_anthropic_adapter.py::TestRunOauthSetupToken::test_returns_token_from_credential_files
  ║ FAILED tests/agent/test_anthropic_adapter.py::TestRunOauthSetupToken::test_returns_token_from_env_var
  ║ FAILED tests/agent/test_anthropic_adapter.py::TestRunOauthSetupToken::test_returns_none_when_no_creds_found
  ║ ================== 3 failed, 170 passed in 143.93s (0:02:23) ===================
  ║
  ║  Repro: python -m pytest tests/agent/test_anthropic_adapter.py
  ╚╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍

[  8.1% |  3070/~37961 | ✓3294 | ✗   3] ✓ tests/agent/test_system_prompt_restore.py (11✓, 12.9s)
[  8.1% |  3093/~37961 | ✓3317 | ✗   3] ✓ tests/agent/test_shell_hooks_consent.py (23✓, 22.5s)
